legal_text,simplified_text
"SECTION 310 of Companies Act, 2013
Companies Act, 2013 
310.

  Appointment

of Company Liquidator.
1.      The company in its

general meeting, where a resolution of voluntary winding up is passed, shall

appoint a Company Liquidator from the panel prepared by the Central Government

for the purpose of winding up its affairs and distributing the assets of the

company and recommend the fee to be paid to the Company Liquidator.
2.      Where the creditors

have passed a resolution for winding up the company under sub-section (3 )

of section 306, the appointment of the Company Liquidator under this section

shall be effective only after it is approved by the majority of creditors in

value of the company:
Provided

that where such creditors do not approve the appointment of such Company

Liquidator, creditors shall appoint another Company Liquidator.
1.     
2.     
3.      The creditors while

approving the appointment of Company Liquidator appointed by the company or

appointing the Company Liquidator of their own choice, as the case may be, pass

suitable resolution with regard to the fee of the Company Liquidator.
4.      On appointment as

Company Liquidator, such liquidator shall file a declaration in the prescribed

form within seven days of the date of appointment disclosing conflict of

interest or lack of independence in respect of his appointment, if any, with the

company and the creditors and such obligation shall continue throughout the

term of his or its appointment.","Simplified text: Appointment of Company Liquidator:
- Appointment Process: When a company decides to wind up voluntarily in a general meeting, they must choose a Company Liquidator from a list provided by the Central Government. The chosen liquidator will be responsible for finalizing the company's affairs and distributing its assets, and the company will recommend their fee.
- Creditor Approval: If creditors pass a resolution to wind up the company under specific circumstances, the appointment of the Company Liquidator needs to be approved by the majority of creditors. If approved, the appointed liquidator must disclose any conflicts of interest or lack of independence within seven days of their appointment.
- Fees Resolution: Creditors need to pass a resolution regarding the fee of the Company Liquidator, whether appointed by the company or by the creditors themselves.

By following these tips and simplification techniques, legal texts can become more accessible and easier to understand for a wider audience."
"SECTION 9 of Ajmer Tenancy and Land Records Act, 1950
9. Certain rights of landlord.-
Subject, in case of clause (iii), to the conditions of an istimrari sanad and to the provisions of any law for the time being in force, a landlord shall have a right-
(i) where in any area bighori is charged at customary rate and cotton is grown on more than one-fourth of the irrigable area of the holding of a tenant, to charge rent on the land in excess of the one-fourth area on which cotton is grown at a rate specified in the second proviso to section 64;
(ii) at all reasonable times, to enter, or depute his servant, agent or surveyor to enter, upon any land comprised in his estate for the purpose of surveying and measuring such land or for any other lawful purpose; and
(iii) if he has a proprietary interest in an istimrari estate, to open of work a mine or grant a lease for the purpose, or to undertake, or to issue a licence to any other person to undertake, prospecting work for discovering new sources of supply of minerals.","Simplified text: Landlord Rights: According to Section 9 of the Ajmer Tenancy and Land Records Act, 1950: 
A landlord is entitled to the following rights:
1. If bighori area is cultivated with cotton on more than one-fourth of the land rented by a tenant, the landlord can charge rent for the excess land at a specified rate.
2. The landlord, or someone authorized by them, can access the rented land for surveying, measuring, or other lawful purposes at reasonable times.
3. If the landlord has ownership in an istimrari estate, they can mine or lease the land for mining purposes, or allow others to prospect for new mineral sources."
"SECTION 2 of Cantonments (House Accommodation) Act, 1923
The Cantonments (House-Accommodation) Act, 1923
2. Definitions.-
(1) In this Act, unless there is anything repugnant in the subject or context,-
(a) ""Brigade area"" means one of the Brigade areas, whether occupied by a brigade or not, into which India is for military purposes for the time being divided, and includes any area which the Central Government may, by notification in the Official Gazette, declare to be a Brigade area for all or any of the purposes of this Act;
*
*
*
*
7[(b) ""Cantonment Board"" means a Cantonment Board constituted under the Cantonments Act, 1924 (2 of 1924);]
""Command"" means one of the Commands into which India is for military purposes for the time being divided, and includes any area which the Central Government may, by notification in the Official Gazette, declare to be a Command for all or any of the purposes of this Act;
(d) 8[""Officer Commanding the station""] means the officer for the time being in command of the forces in a cantonment 9[or, if that Officer is the Officer Commanding the District, the military officer who would be in command of those forces in the absence of the Officer Commanding the District]:
(e) ""District"" means one of the Districts into which India is for military purposes for the time being divided; it includes a Brigade area which does not form part of any such District and any area which the 1[Central Government] may, by notification in the 1[Official Gazette], declare to be a District for all or any of the purposes of this Act;
(f) ""house"" means a house suitable for occupation by a military officer or a military mess, and includes the land and buildings appurtenant to a house;
(g) ""military officer"" means a commissioned or warrant officer of 2[the Indian] military or air forces on military or air force duty in a cantonment, 3***, 4[an officer of the Cantonments Department] and any person in Army departmental employment whom the Officer Commanding the District may at any time, by an order in writing, place on the same footing as a military officer for the purposes of this Act;
(h) ""owner"" includes the person who is receiving, or is entitled to receive, the rent of a house, whether on his own account or on behalf of himself and others or as an agent or trustee, or who would so receive the rent, or be entitled to receive it, if the house were let to a tenant; and
(i) a house is said to be in a state of reasonable repair when-
(i) all floors, walls, pillars and arches are sound and all roofs sound and watertight,
(ii) all doors and windows are intact, properly painted or oiled and provided with proper locks or bolts or other secure fastenings, and
(iii) all rooms, out-houses and other appurtenant buildings are properly colour-washed or whitewashed.
(2) If any question arises whether any land or building is appurtenant to a house, it shall be decided by the 5[Officer Commanding the station] whose decision thereon shall, subject to revision by the 6[Collector], be final.
7[(3) In the application of this Act to 8[the territories which immediately before the 1st November 1956, were comprised in any Part B State], any reference to an enactment not in force in 9[those territories] shall be construed as a reference to the corresponding law in force in 9[those territories].]
1. The Act comes into force in Pondicherry on 1-10-1963: vide Reg. 7 of 1963, s. 3 and the First Schedule.
2. The words and letter ""except Part B States"" were omitted by Act 53 of 1950, s. 2.
3. The brackets and words ""(inclusive of British Baluchistan)"" were rep. by the A.O. 1948.
4. The words ""except Aden"" were rep. by the A.O. 1937.
5. Rep. by s. 39 and the Schedule of this Act.
6. The original clause (b) was rep: by Act 9 of 1930, s. 2.
7. Clause (bb) reletterd as clasue (b) by Act 9 of 1931, s. 2, earlier it was inserted by Act 10 of 1925, s. 2.
8. Subs. by Act 10 of 1925, s. 6, for ""Commanding Officer of the Cantonment"".
9. Ins. by Act 9 of 1930, s. 2.","**Simplified text:**
Definitions:
Brigade Area: Refers to designated areas in India used for military purposes.
Cantonment Board: Refers to a board established under the Cantonments Act of 1924.
Command: Refers to operational military divisions in India.
Officer Commanding the Station: The commanding officer of military forces in a cantonment.
District: Refers to military administrative divisions in India.
House: Refers to a residence suitable for military personnel, including associated land and buildings.
Military Officer: Refers to commissioned or warrant officers of the Indian military or air forces.
Owner: Refers to individuals entitled to receive rent for a house.
Reasonable Repair: Defined criteria for a house to be considered in good condition.
Decision Making:
Appurtenant Property: The Officer Commanding the Station has the final say in determining if a land or building is connected to a house.
Territorial Application: Any references to laws not applicable in specific territories shall be interpreted as referring to the corresponding laws in force in those territories.

Effective Date:
The Act comes into effect in Pondicherry on October 1, 1963.

(Note: The footnotes regarding legislative amendments and historical references have been omitted for simplicity.)

If you have any other legal text that needs simplification, feel free to provide it!"
"Provisions as to terms of lease
7B(1)Any lease granted to the freeholder under paragraph 7A, and any agreement collateral to it, must conform with the provisions of Part 4 of this Schedule except to the extent that any departure from those provisions—
(a)is agreed to by the nominee purchaser and the freeholder, or
(b)is directed by the appropriate tribunal on an application made by either of those persons.
(2)The appropriate tribunal may not direct any such departure from those provisions unless it appears to the tribunal that it is reasonable in the circumstances.
(3)In determining whether any such departure is reasonable in the circumstances, the tribunal must—
(a)have particular regard to the interests of any person who will be the tenant of the flat or other unit in question under a lease inferior to the lease to be granted to the freeholder;
(b)where the flat or other unit in question is comprised in two or more different freehold titles immediately before the appropriate time, take that into account.
(4)Subject to the preceding provisions of this paragraph, any such lease or agreement as is mentioned in sub-paragraph (1) may include such terms as are reasonable in the circumstances.”;
(c)in paragraph 10, after sub-paragraph (2) insert—
“(3)In the application of this paragraph or paragraph 11 to a lease under paragraph 7A for part of a flat or other unit where that flat or other unit is comprised in two or more different freehold titles immediately before the appropriate time—
(a)a reference to “other property” in this paragraph or paragraph 11 includes any other part of the flat or other unit in question, and
(b)an obligation under this paragraph or paragraph 11 to include in the lease a particular kind of provision in relation to other property is to be construed accordingly.”;
(d)in paragraph 16(2), for “4 or 7” substitute “4, 7 or 7B”.","Lease Terms:
Any lease given to the owner of the property and any related agreements must comply with the requirements outlined in Part 4 of this Schedule, unless the owner and the buyer agree to different terms, or a tribunal orders otherwise. The tribunal can only order different terms if it seems reasonable in the circumstances. In considering reasonableness, the tribunal must consider the interests of anyone who will be renting the property. The lease or agreement may include other reasonable terms."
"Energy security investment mechanism
17BSection 17A: supplementary provision
(7)If the consumer prices index for the December before the start of a relevant financial year has changed from that index for the previous December—

(a)the threshold prices in the case of reference periods ending in the relevant financial year are taken to have changed by the same percentage as the percentage change in that index, and

(b)those prices are to be rounded up to the nearest whole cent or penny.

(8)Before the start of each relevant financial year, His Majesty’s Revenue and Customs must publish the threshold prices in the case of reference periods ending in that financial year in such manner as they consider appropriate.

(9)In this section—

“consumer prices index” means the all items consumer prices index published by the Statistics Board,
“final day of the levy” means the last day of what would otherwise be the latest qualifying accounting period, and
“relevant financial year” means any financial year after the financial year 2024 other than one beginning after the final day of the levy.”
","Energy Security Investment Mechanism

Supplementary Provision
If the consumer prices index for December before the start of a relevant financial year has changed from the previous December:

- The threshold prices for reference periods ending in the relevant financial year will change by the same percentage as the change in the consumer prices index, and
- The prices will be rounded up to the nearest whole cent or penny.

Before the start of each relevant financial year, His Majesty’s Revenue and Customs must publish the threshold prices for reference periods ending in that financial year.

In this section:
- ""consumer prices index"" means the all items consumer prices index published by the Statistics Board,
- ""final day of the levy"" means the last day of what would otherwise be the latest qualifying accounting period, and
- ""relevant financial year"" means any financial year after the financial year 2024 other than one beginning after the final day of the levy."
"SECTION 235 of Companies Act, 2013
Companies Act, 2013 
235.

  Power

to acquire shares of shareholders dissenting from scheme or contract approved

by majority.
1.      Where a scheme or

contract involving the transfer of shares or any class of shares in a company

(the transferor company) to another company (the transferee company) has,

within four months after making of an offer in that behalf by the transferee

company, been approved by the holders of not less than nine-tenths in value of

the shares whose transfer is involved, other than shares already held at the

date of the offer by, or by a nominee of the transferee company or its

subsidiary companies, the transferee company may, at any time within two months

after the expiry of the said four months, give notice in the prescribed manner

to any dissenting shareholder that it desires to acquire his shares.
2.      Where a notice under

sub-section (1 ) is given, the transferee company shall, unless on an

application made by the dissenting shareholder to the Tribunal, within one

month from the date on which the notice was given and the Tribunal thinks fit

to order otherwise, be entitled to and bound to acquire those shares on the terms

on which, under the scheme or contract, the shares of the approving

shareholders are to be transferred to the transferee company.
3.      Where a notice has

been given by the transferee company under sub-section (1 ) and the

Tribunal has not, on an application made by the dissenting shareholder, made an

order to the contrary, the transferee company shall, on the expiry of one month

from the date on which the notice has been given, or, if an application to the

Tribunal by the dissenting shareholder is then pending, after that application

has been disposed of, send a copy of the notice to the transferor company

together with an instrument of transfer, to be executed on behalf of the

shareholder by any person appointed by the transferor company and on its own

behalf by the transferee company, and pay or transfer to the transferor company

the amount or other consideration representing the price payable by the

transferee company for the shares which, by virtue of this section, that

company is entitled to acquire, and the transferor company shall—
a.     

  thereupon

register the transferee company as the holder of those shares; and
b.    

  within

one month of the date of such registration, inform the dissenting shareholders

of the fact of such registration and of the receipt of the amount or other

consideration representing the price payable to them by the transferee company.
1.     
2.     
3.     
4.      Any sum received by

the transferor company under this section shall be paid into a separate bank

account, and any such sum and any other consideration so received shall be held

by that company in trust for the several persons entitled to the shares in

respect of which the said sum or other consideration were respectively received

and shall be disbursed to the entitled shareholders within sixty days.
5.      In relation to an

offer made by a transferee company to shareholders of a transferor company

before the commencement of this Act, this section shall have effect with the

following modifications, namely:—
a.     

  in

sub-section (1 ), for the words “the shares whose transfer is involved

other than shares already held at the date of the offer by, or by a nominee of,

the transferee company or its subsidiaries,”, the words “the shares affected”

shall be substituted; and
b.    

  in

sub-section (3 ), the words “together with an instrument of transfer, to

be executed on behalf of the shareholder by any person appointed by the

transferee company and on its own behalf by the transferor company” shall be

omitted.
Explanation.— For the purposes of

this section, “dissenting shareholder” includes a shareholder who has not

assented to the scheme or contract and any shareholder who has failed or

refused to transfer his shares to the transferee company in accordance with the

scheme or contract.","Simplified text: Power to Acquire Shares:

- When a majority of shareholders (over 90%) agree to transfer their shares from one company to another, the receiving company can notify any dissenting shareholder within two months that it wants to buy their shares.
- If the dissenting shareholder doesn't object to the acquisition within one month, the receiving company can proceed to buy those shares at a fair price as agreed in the initial scheme.
- The receiving company must inform the original company of this transfer and process payment to the dissenting shareholders within sixty days.
- Any funds received through this process must be kept in a separate account and distributed to the entitled shareholders within sixty days."
"SECTION 182 of Ajmer Tenancy and Land Records Act, 1950
182. Submission to confirming court.-
When, under the provisions of this Act, a revenue court is required to submit the record of a case to a confirming court, it shall not comply with such provisions-
(i) unless any of the parties to such case has, within seven days of the decree or the order passed therein, made an application bearing a court-fee stamp of the value of two rupees and eight annas to such revenue court, requesting that the record be submitted for confirmation; or
(ii) if such decree or order is passed on the admission of a party to the case, or in terms of a compromise; or is based on the award of an arbitrator appointed by the parties; or
(iii) if the parties to the case apply in writing that they accept the decree or order as final: Provided that if any party challenges a decree or an order mentioned in clause (ii) on the ground that it does not conform to the compromise or the award, or that it goes beyond it, such court shall, on the application of such party, submit the record to the confirming court.","Simplified text: Submission to Confirming Court:
When a revenue court is required to send a case record to a confirming court under this Act, it must not do so unless:
 
Any party in the case submits an application to the revenue court within seven days of the decree or order, requesting the record for confirmation.
The decree or order is based on a party’s admission, a compromise, or an arbitrator's award appointed by the parties.
The parties agree in writing that the decree or order is final.
If any party disputes a decree or order based on a compromise or award, the court must send the record to the confirming court upon the party's request."
"SECTION 5 of Code on Social Security Act, 2020
5. Constitution of Employees' State Insurance Corporation.-
(1) The Central Government may, by notification, constitute with effect from such date as may be specified therein, the Employees' State Insurance Corporation to be called the Corporation, for the purposes of Chapter IV and the provisions of this Code relating to that Chapter and the administration thereof, in such manner as may be prescribed by the Central Government, consisting of the following members, namely:-
(a) a Chairperson to be appointed by the Central Government;
(b) a Vice-Chairperson to be appointed by the Central Government;
(c) not more than five persons to be appointed by the Central Government from amongst its officials;
(d) one person representing each of such States in such manner, as may be prescribed by the Central Government;
(e) one person to be appointed by the Central Government to represent the Union territories;
(f) ten persons representing employers to be appointed by the Central Government in consultation with such organisations of employers as may be recognised for the purpose by the Central Government;
(g) ten persons representing employees to be appointed by the Central Government in consultation with such organisations of employees as may be recognised for the purpose by the Central Government;
(h) two persons representing the medical profession to be appointed by the Central Government in consultation with such organisations of medical practitioners as may be recognised for the purpose by the Central Government;
(i) three members of Parliament of whom two shall be members of the House of the People (Lok Sabha) and one shall be a member of the Council of States (Rajya Sabha) elected respectively by the members of the House of the People and the members of the Council of States; and
(j) the Director General of the Corporation, ex officio.
(2) The Corporation shall be a body corporate by the name of Employees' State Insurance Corporation, having perpetual succession and a common seal and shall by the said name sue and be sued.
(3) The Central Government may, by notification, constitute, with effect from such date as may be specified therein, a Standing Committee from amongst the members of the Corporation, in such manner as may be prescribed by the Central Government.
(4) Subject to the general superintendence and control of the Corporation, the Standing Committee-
(a) shall administer the affairs of the Corporation and may exercise any of the powers and perform any of the functions of the Corporation in such manner as may be prescribed by the Central Government;
(b) shall submit for the consideration and decision of the Corporation all such cases and matters as may be specified in the regulations made in this behalf; and
(c) may, in its discretion, submit any other case or matter for the decision of the Corporation.
(5) (a) The Central Government may, by notification, constitute, with effect from such date as may be specified therein, a Medical Benefit Committee of such composition as may be specified therein, to assist the Corporation and the Standing Committee in performance of its functions relating to administration of medical benefits.
(b) the Medical Benefit Committee shall perform such duties and exercise such powers as may be prescribed by the Central Government.
(6) The Corporation may, by order, constitute one or more committees of such composition as may be specified in the regulations to assist it in the discharge of its functions.
(7) The terms and conditions, including tenure of office, subject to which a member of the Corporation and Standing Committee shall discharge their respective duties may be such as may be prescribed by the Central Government:
Provided that a member of the Corporation shall, notwithstanding the expiry of the tenure of his office, continue to hold office until his successor is appointed.","### Simplified Text:

#### Establishment of Employees' State Insurance Corporation:
1. **Setting Up**: The Central Government can create the Employees' State Insurance Corporation, called the Corporation, with the following members:
   - A Chairperson and Vice-Chairperson appointed by the Central Government.
   - Not more than five government officials.
   - Representatives from States and Union territories.
   - Representatives of employers and employees.
   - Members of the medical profession.
   - Three Members of Parliament.
   - The Director General of the Corporation.
   
2. **Corporate Status**: The Corporation is a legal entity known as the Employees' State Insurance Corporation. It can legally act and be taken to court.
   
3. **Standing Committee**:
   - A Standing Committee can be formed from Corporation members.
   - The Committee oversees Corporation affairs and can exercise its powers as directed by the Central Government.
   
4. **Medical Benefit Committee**:
   - A Medical Benefit Committee may be established to assist with medical benefits administration.
   - The Committee follows guidelines set by the Central Government.
   
5. **Committees Formation**:
   - The Corporation can create additional committees as needed.
   
6. **Member Terms**:
   - Member duties and terms of office are decided by the Central Government, even if their term ends.
  "
"Annual maximum contributions
(1)The Social Security (Contributions) Regulations 2001 (as they had effect immediately before the day on which this Act comes into force) are amended as follows.

(2)In regulation 21 (annual maxima for those with more than one employment), in paragraph (2), in Step Two, for “11.5%” substitute “8%”.

(3)In regulation 100 (annual maximum of Class 4 contributions), in paragraph (3)—

(a)in Step Two, for “9 per cent” substitute “6%”, and

(b)in Step Five, for “100/9” substitute “100/6”.

(4)Paragraph 3 of the Schedule to the National Insurance Contributions (Reduction in Rates) Act 2023 is superseded by this section and accordingly is to be treated as never having had effect.

","Setting Annual Contribution Limits:
 
 Changing Regulations: The Social Security (Contributions) Regulations 2001 (as they were before this law took effect) are being updated.

 Tweaking Contribution Rates: The changes involve adjusting specific contribution rates in certain situations, such as for those with multiple jobs and for Class 4 contributions.

 Repealing Outdated Provision: This update replaces a specific part of the National Insurance Contributions (Reduction in Rates) Act 2023, effectively erasing it from the law."
"87. The Court shall presume, unless contrary is proved, that the information listed in
an Electronic Signature Certificate is correct, except for information specified as subscriber
information which has not been verified, if the certificate was accepted by the subscriber","The Court will assume that the information in an Electronic Signature Certificate is true, unless someone can prove otherwise. This is true for all information except for the subscriber information that has not been verified, if the certificate was accepted by the subscriber."
