Model,Strategy,SARI Score,Factually Score
LLama 3.2 1B,ICL 1 Shot,41.53926707,0.5829497075
LLama 3.2 1B,ICL 2 Shot,42.31827131,0.7329495757
LLama 3.2 1B,finetune 0 Shot,50.06120577,0.59932029
LLama 3.2 1B,ICL 0 Shot,42.65417423,0.5509881847
Qwen 2.5 7B,ICL 1 Shot,30.51542238,0.141258784
Qwen 2.5 7B,ICL 2 Shot,29.61395235,0.06141806123
Qwen 2.5 7B,FT,37.96635236,0.2905818289
Qwen 2.5 7B,ICL 0 Shot,31.28022436,0.0645487443
LLama 3.2 3B,ICL 1 Shot,31.38896685,0.1135831039
LLama 3.2 3B,ICL 2 Shot,31.15253994,0.1278974628
LLama 3.2 3B,FT,41.76787217,0.3519526156
LLama 3.2 3B,ICL 0 Shot,29.55739555,0.09261436767
Mistral 7B ,ICL 1 Shot,53.28004594,0.5807041032
Mistral 7B ,ICL 2 Shot,53.31765542,0.5679407082
Mistral 7B ,FT,66.28934193,0.6644355894
Mistral 7B ,ICL 0 Shot,51.22591413,0.6038620166
Gemma 3 4B,ICL 1 Shot,45.00276485,0.3802041703
Gemma 3 4B,ICL 2 Shot,45.00250599,0.4539766259
Gemma 3 4B,FT,42.44246363,0.2732452546
Gemma 3 4B,ICL 0 Shot,42.97140229,0.283776519
Qwen 2.5 1.5B,ICL 1 Shot,36.40039436,0.3048040667
Qwen 2.5 1.5B,ICL 2 Shot,35.0658164,0.2618335436
Qwen 2.5 1.5B,FT,42.70100626,0.4329767634
Qwen 2.5 1.5B,ICL 0 Shot,35.38827736,0.2005510888
