Model,Strategy,BERT Score - average_precision,BERT Score - average_recall,BERT Score - average_f1,ROUGE Score - rouge1,ROUGE Score - rouge2,ROUGE Score - rougeL,ROUGE Score - rougeLsum,SARI Score,Factually Score
LLama 3.2 1B,ICL 1 Shot,0.8412651775,0.8629382048,0.8513428906,0.3269407058,0.1564681792,0.2327721351,0.2907832357,41.53926707,0.5829497075
LLama 3.2 1B,ICL 2 Shot,0.8339950359,0.8743285215,0.8530171418,0.2670223837,0.1322803932,0.1968604355,0.241899342,42.31827131,0.7329495757
LLama 3.2 1B,FT,0.901878832,0.9049119192,0.9031718951,0.588817511,0.3445866516,0.4733656818,0.5339303271,50.06120577,0.59932029
LLama 3.2 1B,ICL 0 Shot,0.8296362567,0.8711414659,0.8493651158,0.3217652734,0.1618154461,0.2339225482,0.2914149518,42.65417423,0.5509881847
Qwen 2.5 7B,ICL 1 Shot,0.7834659821,0.8246323544,0.8027069694,0.1552226506,0.02847629642,0.1011944147,0.1360172023,30.51542238,0.141258784
Qwen 2.5 7B,ICL 2 Shot,0.7696037036,0.8103159326,0.7883958906,0.110441669,0.01926837706,0.06832579291,0.09769000202,29.61395235,0.06141806123
Qwen 2.5 7B,FT,0.8207647904,0.8747851563,0.8460927963,0.3083757991,0.1329592478,0.2337813799,0.2753841377,37.96635236,0.2905818289
Qwen 2.5 7B,ICL 0 Shot,0.8155826902,0.8380255979,0.8261986423,0.1692206202,0.03114136394,0.1067212368,0.1474381326,31.28022436,0.0645487443
LLama 3.2 3B,ICL 1 Shot,0.8142401893,0.828578854,0.8204567793,0.1734201263,0.03525839747,0.1087893023,0.1521215236,31.38896685,0.1135831039
LLama 3.2 3B,ICL 2 Shot,0.8149456482,0.8309117907,0.8221088309,0.182029474,0.03464566007,0.11164931,0.1589537658,31.15253994,0.1278974628
LLama 3.2 3B,FT,0.8830400724,0.8862492797,0.8843956602,0.425869931,0.2339646828,0.3477891316,0.3960780892,41.76787217,0.3519526156
LLama 3.2 3B,ICL 0 Shot,0.8100576224,0.8153055166,0.8119552437,0.1336249162,0.02091931068,0.09016859377,0.1157708109,29.55739555,0.09261436767
Mistral 7B ,ICL 1 Shot,0.8964332592,0.9159825313,0.9057896626,0.5972632289,0.3685329348,0.503958791,0.5568117823,53.28004594,0.5807041032
Mistral 7B ,ICL 2 Shot,0.8968986893,0.9158172083,0.9060092813,0.585519423,0.3616609894,0.4989936412,0.5469151868,53.31765542,0.5679407082
Mistral 7B ,FT,0.9263583851,0.9318141288,0.9288746631,0.7320553705,0.5727456573,0.666382019,0.7024678451,66.28934193,0.6644355894
Mistral 7B ,ICL 0 Shot,0.8909627545,0.9086933142,0.8993292855,0.557261403,0.3182516732,0.4448578918,0.5079006513,51.22591413,0.6038620166
Gemma 3 4B,ICL 1 Shot,0.8403766125,0.8933529556,0.8657522833,0.459143518,0.206590949,0.3186954064,0.4148152614,45.00276485,0.3802041703
Gemma 3 4B,ICL 2 Shot,0.8767969316,0.8973198438,0.8866651857,0.5091519294,0.2365088866,0.3723615174,0.4559590648,45.00250599,0.4539766259
Gemma 3 4B,FT,0.8214691973,0.8775748748,0.8484690756,0.3822015797,0.1462327766,0.236407402,0.343171144,42.44246363,0.2732452546
Gemma 3 4B,ICL 0 Shot,0.8220433778,0.8780870152,0.8490088058,0.3864689364,0.1516871865,0.2413851332,0.3459252767,42.97140229,0.283776519
Qwen 2.5 1.5B,ICL 1 Shot,0.8447818571,0.8498331136,0.8469034851,0.2854267231,0.09912091611,0.2047088828,0.2564819413,36.40039436,0.3048040667
Qwen 2.5 1.5B,ICL 2 Shot,0.8487705415,0.8479290098,0.8480147851,0.2616316301,0.08103984136,0.1865572565,0.2326113937,35.0658164,0.2618335436
Qwen 2.5 1.5B,FT,0.8832886297,0.8766412061,0.879625541,0.4223218739,0.1894559168,0.3194915642,0.37418857,42.70100626,0.4329767634
Qwen 2.5 1.5B,ICL 0 Shot,0.8645665705,0.8549933136,0.8595262212,0.2938111867,0.09141579718,0.2045279457,0.255217128,35.38827736,0.2005510888
